baseline,snr_db,num_samples,mse_linear_mean,mse_db_mean
lmmse_matlab,0,2000,0.06257935880245175,-12.035688910137889
lmmse_matlab,5,2000,0.041508071343523634,-13.818674454777648
lmmse_matlab,10,2000,0.03583244176418629,-14.457235962832351
lmmse_matlab,15,2000,0.033548668719630456,-14.74324708853846
lmmse_matlab,20,2000,0.032988108127449664,-14.816425905889064
lmmse_matlab,25,2000,0.03272236577839117,-14.851553050203222
